API,well_type,well_type_OCCm,year,manual_check,murray_1012A,formation,author,latitude,longitude,depth_upper,depth_lower,approval_yr,UIC_dataset,incounty,dist_to_bsm,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,interp_dist2bsm
3500300026,R,2RIn,2007,NaN,,Desmoinesian,Weing,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,935,0,930,0,420,960,1105,1120,980,1085,1050,955,NaN
3500300026,R,2RIn,2008,NaN,,Desmoinesian,Weing,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,955,987,1110,1098,1105,1081,1012,943,977,1064,964,940,NaN
3500300026,R,2RIn,2009,NaN,no,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,965,988,994,989,954,1021,971,1025,983,979,971,985,NaN
3500300026,R,2RIn,2010,NaN,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,968,989,996,992,958,1025,974,1028,986,983,976,988,NaN
3500300026,R,2RIn,2011,42,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,971,986,994,990,963,997,986,0,0,0,0,0,NaN
3500300026,R,2RIn,2012,42,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,1588,1242,1312,1650,3827,2864,2663,1803,1967,1122,874,694,NaN
3500300026,R,2RIn,2013,42,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,0,0,0,146,1149,2800,2424,1829,1783,1300,1666,1721,NaN
3500300026,R,2RIn,2014,42,no,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,1161,1127,1446,953,899,501,835,527,1102,547,546,521,NaN
3500300026,R,2RIn,2015,42,no,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,465,420,465,450,465,450,465,465,450,465,411,404,NaN
3500300026,R,2RIn,2016,42,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,425,554,0,457,613,0,0,806,253,1990,1134,1644,NaN
3500300026,R,2RIn,2017,42,,Desmoinesian,Murray,36.9003,-98.2183,NaN,4938,1977,1,1,NaN,1505,1375,1675,1555,1455,1360,1529,1830,1800,1704,1179,832,NaN
