API,well_type,well_type_OCCm,year,manual_check,murray_1012A,formation,author,latitude,longitude,depth_upper,depth_lower,approval_yr,UIC_dataset,incounty,dist_to_bsm,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,interp_dist2bsm
3500320145,D,2DCm,2006,-1,,Multiple-Undifferentiated,Weing,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,34127,27811,23069,28832,32011,30775,30379,32445,38241,46310,47473,40929,0
3500320145,D,2DCm,2007,-1,,Multiple-Undifferentiated,Weing,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,45482,40231,48538,44734,46435,43005,44830,16651,54023,54023,59110,55683,0
3500320145,2DCm,2DCm,2008,NaN,2DCm,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,59862,51434,33634,42430,41578,38314,22837,41608,31152,51810,33712,31314,0
3500320145,2DCm,2DCm,2009,NaN,2DCm,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,43506,26200,23744,22818,8747,1103,4366,4140,2887,3445,4619,3702,0
3500320145,2DCm,2DCm,2010,NaN,2DCm,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,5755,9301,9999,6780,7946,5212,19416,5260,5047,16219,21965,18034,0
3500320145,2D,2DCm,2011,42,2D,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,660,0,3074,20266,5926,0,10963,12929,0,20192,2982,18067,0
3500320145,2D,2DCm,2012,42,2D,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,30422,20870,6751,23604,7436,22935,15888,13365,11864,8490,19937,13964,0
3500320145,SWD,2DCm,2013,42,SWD,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,6810,5321,4215,4029,3666,2002,6408,4441,5763,9062,4740,2067,0
3500320145,2DCm,2DCm,2014,42,2DCm,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,2408,2971,3496,4132,3297,3879,5493,4388,3527,5303,4839,8508,0
3500320145,2DCm,2DCm,2015,42,2DCm,Multiple-Undifferentiated,Murray,36.5048,-98.4332,5150,5590,0,0,1,1144.3073,4804,2111,3789,3444,360,1460,1342,1586,1546,300,0,0,0
